n_topics,coherence_cv,irbo,n_posts
3,0.3302239045031659,0.6880790532746033,461
4,0.3731552581804585,0.6644698722912699,461
5,0.45225035777267897,0.7534907436004763,461
6,0.4646048416589658,0.8186924033526984,461
7,0.40523234519675044,0.8463764281485261,461
8,0.43668282957756516,0.8255640026344672,461
9,0.4403991782330901,0.8339358526488978,461
10,0.40781097168853686,0.872277626712134,461
11,0.37959671032983666,0.8812551230531025,461
12,0.41310516151278903,0.9013509982423762,461
13,0.4417802796118414,0.8854993723605413,461
14,0.3963301969042708,0.9139622944299146,461
