n_topics,coherence_cv,irbo,n_posts
3,0.4136900821217931,0.8965698865428572,6416
4,0.3799634267510121,0.8092963563648149,6416
5,0.4261547307227115,0.8410629610677778,6416
6,0.4443143136013066,0.8475304356213758,6416
7,0.4629072881047791,0.8589775171261527,6416
8,0.46289345868875,0.8401086615518707,6416
9,0.4476741064852535,0.8464066520940917,6416
10,0.43514672039728436,0.8454774332079718,6416
11,0.42072931237491934,0.862853331843925,6416
12,0.4241655899604893,0.8683890783000722,6416
13,0.4247589953668095,0.8707200222273505,6416
14,0.4209217345502192,0.8733965437848248,6416
