n_topics,coherence_cv,irbo,n_posts
3,0.6027535819318278,1.0,2476
4,0.5291762957053971,1.0,2476
5,0.5781746099818266,0.99837379054,2476
6,0.6024812302680862,0.9966524889314285,2476
7,0.5712074924697716,0.9988239206653061,2476
8,0.6661862586048557,0.9991179404989796,2476
9,0.656882002120931,0.9966621644392857,2476
10,0.6137131941604266,0.9962948945285715,2476
11,0.6297029033304855,0.99403638796,2476
12,0.607856015477544,0.9943444985616883,2476
13,0.5788537154390667,0.9946576610368132,2476
14,0.5902266131574769,0.9944205288806908,2476
