n_topics,coherence_cv,irbo,n_posts
3,0.6192744322239533,1.0,3478
4,0.6057100857270462,0.9958837223285715,3478
5,0.6652773355543373,0.99817715737,3478
6,0.6629368542973515,0.9960549665114286,3478
7,0.6472892691267863,0.9915998629306122,3478
8,0.6342769237391299,0.9909644533887755,3478
9,0.6225096721268611,0.9919690591535715,3478
10,0.6095315011128242,0.9889999077333333,3478
11,0.6069686553780061,0.9909193563758442,3478
12,0.5785095959392952,0.9905093994350649,3478
13,0.5989349103438827,0.9881778418043956,3478
14,0.5919364509219328,0.9890951838806907,3478
