n_neighbors,min_cluster_size,n_topics,n_outliers,coherence_cv,irbo
5,2,386,1365,0.6640632551478437,0.9996368753676909
7,2,348,1607,0.6636312614829315,0.9995252519174105
10,2,287,1837,0.6642060027222574,0.9996188996734239
12,2,314,2002,0.6769170811430006,0.9996274341453782
15,2,171,2137,0.6638025096526833,0.9995854576860409
18,2,161,1823,0.6923378836350824,0.9995276219172958
20,2,83,2091,0.678985650193875,0.9997118716813326
25,2,245,1933,0.660968648656982,0.9995685175451013
30,2,314,2172,0.6522969059398019,0.999673695247174
5,3,32,1588,0.6247343829267118,0.9985191909639977
7,3,201,1885,0.6331039105220905,0.9991606651450058
10,3,176,2115,0.6174896838410642,0.9992108068012812
12,3,58,2191,0.6306807488530447,0.9988650692335705
15,3,175,2441,0.6016932223407063,0.999288519786065
18,3,133,2269,0.6419394147537449,0.9990889864990184
20,3,37,2572,0.6567936454782769,0.9994983409599957
25,3,168,2324,0.6283667638743465,0.9993032467417208
30,3,182,2426,0.6595064775266493,0.9991324389266387
5,4,146,1843,0.6152170829221033,0.9987761921418841
7,4,135,1866,0.6152701819443274,0.9989190560907051
10,4,95,2254,0.6286168471976766,0.9989008217596062
12,4,14,2326,0.6243668337568942,0.9932965908965812
15,4,74,2536,0.6142030812769873,0.9987234120430699
18,4,119,2438,0.6239692032722312,0.9990191074909744
20,4,78,2505,0.6145698613984647,0.9987516404340491
25,4,104,2510,0.6233737799809874,0.9987067447621777
30,4,119,2638,0.6350116797342162,0.9988572447003823
5,5,97,1894,0.5904261158531906,0.9984486708832917
7,5,93,1956,0.6126404827519716,0.9984946500844261
10,5,61,2303,0.6202718166459341,0.9984068233977986
12,5,107,2407,0.6379823247853121,0.9987713072606454
15,5,41,2374,0.6231084449957239,0.9987101976354181
18,5,94,2159,0.6285226495638904,0.9983341443531171
20,5,40,2325,0.6451573389802123,0.9980082585491942
25,5,64,2766,0.6086978960827548,0.9987097507468411
30,5,35,2534,0.6158509049602271,0.9981382740389436
5,10,41,2166,0.5408018154145977,0.9954625936606659
7,10,34,2135,0.5444548250736723,0.9951667213857454
10,10,59,2340,0.5963897161419642,0.9965695056343659
12,10,20,1962,0.5772433967321232,0.9941993979537761
15,10,16,2003,0.6083801819687376,0.9938111357606217
18,10,48,2520,0.6085844753066606,0.9968024161347293
20,10,19,2651,0.6499025978956043,0.9933653207030075
25,10,14,2874,0.6141683982244143,0.9965789660299843
30,10,25,2675,0.5750463077382111,0.9951606423133915
5,15,39,2162,0.6002006827193258,0.9932963358996916
7,15,40,1765,0.6090564750376153,0.9951319269498352
10,15,32,1917,0.6279860797847888,0.9956629855391993
12,15,2,23,0.6283886045665378,1.0
15,15,11,2203,0.5727652194855719,0.9939128343064935
18,15,3,28,0.6691919063004413,0.9913729411
20,15,25,2283,0.6303859801851268,0.9937014505106191
25,15,10,2398,0.5889942820719725,0.9919759935590476
30,15,2,17,0.6283886045665378,1.0
5,20,33,1773,0.6352704207034362,0.9906390415367965
7,20,29,1839,0.6298448369359565,0.993829092084729
10,20,6,95,0.6101557382342931,0.9942858050114286
12,20,14,2025,0.6700213938618381,0.9950739046376766
15,20,22,2145,0.6028615862942088,0.9945649401315398
18,20,20,2205,0.6242171239662765,0.9955569260942105
20,20,25,2186,0.6301602398202835,0.9947207541599048
25,20,6,2203,0.5934601945050418,0.9786702162371429
30,20,2,27,0.6283886045665378,1.0
