n_neighbors,min_cluster_size,n_topics,n_outliers,coherence_cv,irbo
5,2,31,70,0.6156637862278828,0.9964992275106981
7,2,38,90,0.6221484770128062,0.992789215183278
10,2,23,105,0.587865676012913,0.9937611364005208
12,2,39,99,0.5599124396720526,0.9923587381590986
15,2,24,102,0.6373387703376688,0.9937290297504255
18,2,43,152,0.6549092305793485,0.9942670354977448
20,2,20,84,0.6054207197665104,0.9892865951755221
25,2,37,141,0.6529378057704863,0.9948056765783283
30,2,25,132,0.6722021290218392,0.9909673417451746
5,3,15,43,0.5119563720800541,0.9896406383947242
7,3,26,52,0.5190523487303618,0.9837359171565129
10,3,14,152,0.6420477742855104,0.9928265453152625
12,3,19,140,0.5513315171953055,0.9863907762568087
15,3,9,121,0.5702681723721237,0.9811540812123016
18,3,14,99,0.5695983067086998,0.9874897851585906
20,3,8,134,0.6672164998025065,0.9867078215653061
25,3,11,118,0.5787108506148525,0.9880276430735642
30,3,13,141,0.5970155628418589,0.9875122148868539
5,4,10,60,0.4858726633989857,0.9662396026461728
7,4,7,81,0.44836548723086583,0.9844869324612245
10,4,19,85,0.5300960614341272,0.9761595641077787
12,4,6,116,0.4792332666587921,0.9883179997228572
15,4,5,151,0.5764443545834577,0.9879007901242857
18,4,7,96,0.5378136565721751,0.9746727025414966
20,4,4,172,0.6628606631063944,0.9940612223285714
25,4,14,99,0.5192093409488459,0.9625606242686726
30,4,5,140,0.5016874260737458,0.9782482241285715
5,5,11,77,0.4449389028600477,0.9841001845205195
7,5,2,0,0.5273811218604978,0.8995373339714285
10,5,6,97,0.4985094248491746,0.9793114883771429
12,5,4,152,0.567864744718366,0.9771770955571428
15,5,3,131,0.603201386817957,1.0
18,5,2,81,0.576808575224186,1.0
20,5,2,122,0.5850881854200253,1.0
25,5,2,114,0.5327293150585055,1.0
30,5,10,122,0.5171773388231684,0.9704948786441976
5,10,2,10,0.48327388195410154,0.9643673339714286
7,10,4,29,0.4792893260514164,0.9599349439642857
10,10,4,124,0.49974763715693704,0.9750537216357142
12,10,6,115,0.5277086736198183,0.9680962826028572
15,10,2,25,0.46643353340752625,0.9643673339714286
18,10,6,111,0.49977784187297275,0.9805722090971428
20,10,3,47,0.4911472230334715,0.9543541911142858
25,10,5,118,0.5585681844874573,0.9847812314542858
30,10,2,22,0.46643353340752625,0.9643673339714286
5,15,2,18,0.4752350531409886,0.9497873339714286
7,15,2,16,0.4551493482531246,0.9643673339714286
10,15,2,51,0.42532018832349777,0.9837379054
12,15,4,133,0.5705527303189324,0.9558510832642857
15,15,2,40,0.47875929693810026,0.9643673339714286
18,15,2,48,0.5179746915605423,0.9643673339714286
20,15,2,52,0.46318817706623755,0.9643673339714286
25,15,4,129,0.5488667322713063,0.9730974439642858
30,15,2,53,0.4537263789107518,0.9837379054
5,20,2,24,0.4752350531409886,0.9497873339714286
7,20,2,36,0.41825368115188155,0.9903809179
10,20,2,74,0.4284190382208475,1.0
12,20,2,56,0.4284190382208475,1.0
15,20,2,50,0.4551493482531246,0.9643673339714286
18,20,2,78,0.4787592969381004,0.9837379054
20,20,2,68,0.4537263789107518,0.9837379054
25,20,4,159,0.5435895619259521,0.9840892643071428
30,20,2,98,0.47075651165473065,1.0
