n_neighbors,min_cluster_size,n_topics,n_outliers,coherence_cv,irbo
5,2,24,792,0.6836736173166547,0.9996155966229814
7,2,114,825,0.7017024799328533,0.9993786945925253
10,2,213,944,0.6932078411160304,0.9994545631412822
12,2,158,1004,0.7024360858740822,0.9994211759410805
15,2,205,1092,0.6904061483182423,0.9995547813112006
18,2,32,1155,0.668056580770588,0.9994661053381336
20,2,88,1120,0.6789543930921214,0.9995154499437685
25,2,94,1166,0.7341171456830166,0.9996322287926889
30,2,187,1174,0.7056259421207979,0.9994894935585404
5,3,9,944,0.5129538721314432,0.9972093703880952
7,3,115,1055,0.6646572235911573,0.9992262046966561
10,3,103,1246,0.661746584374518,0.9992475314939633
12,3,158,1246,0.6531607601574776,0.9990487045660523
15,3,110,1313,0.6642877010065519,0.9991600847139598
18,3,147,1446,0.6410716270757414,0.9991637953634133
20,3,87,1291,0.6387126042134631,0.9989952646151381
25,3,74,1361,0.6421335233086628,0.9987792181468039
30,3,74,1453,0.648867177446986,0.9986691422534323
5,4,86,1156,0.6421981703621984,0.9988956348003614
7,4,51,1231,0.6292574912259176,0.9992088901253445
10,4,69,1402,0.6610019543501459,0.9989018106778177
12,4,118,1354,0.6497786552600227,0.9985382545327282
15,4,71,1427,0.6286893502200064,0.9988941709318713
18,4,48,1475,0.6562745008590817,0.9988381649738601
20,4,92,1416,0.6156594863102884,0.9984320509135163
25,4,54,1493,0.6310235770569437,0.9992449186380653
30,4,70,1509,0.6324755654332204,0.998629344972471
5,5,75,1294,0.6128812379174433,0.9981470389000795
7,5,65,1396,0.6227325877092628,0.9986618164905494
10,5,100,1393,0.625708548312258,0.9976842659400148
12,5,65,1407,0.6493920991943015,0.998649405087268
15,5,67,1465,0.6237653482023877,0.9987490349623313
18,5,55,1578,0.6450582997485621,0.9983173761089273
20,5,58,1560,0.6519246844101221,0.9986483214772035
25,5,38,1593,0.6134986830673583,0.9990534530921561
30,5,63,1644,0.6043357675552514,0.9976810765123172
5,10,2,8,0.6245329073624314,1.0
7,10,2,8,0.6245329073624314,1.0
10,10,2,8,0.6245329073624314,1.0
12,10,2,8,0.6245329073624314,1.0
15,10,2,17,0.6245329073624314,1.0
18,10,34,1660,0.6326845279891257,0.9946037620909459
20,10,2,17,0.6245329073624314,1.0
25,10,23,1621,0.610150135823035,0.995710141076341
30,10,30,1486,0.6472436887720489,0.9892215603987521
5,15,2,69,0.46257198937136523,0.9860762458
7,15,11,1473,0.5884586027483176,0.9878298619093506
10,15,22,1736,0.5897076013884782,0.9936434844993953
12,15,2,32,0.46257198937136523,0.9794332333
15,15,12,1336,0.5559741776654445,0.9934567495287879
18,15,18,1625,0.5954622810711352,0.995062605283961
20,15,3,1550,0.44269291128453386,0.9718235286142857
25,15,19,1614,0.6069600775977947,0.9898446970882763
30,15,14,1548,0.6168770499872758,0.9924751639827665
5,20,12,692,0.5826614694553359,0.9882492513800866
7,20,3,236,0.3853077572480554,0.9834769650571429
10,20,23,1807,0.6278295348883062,0.9846511288683544
12,20,2,32,0.46257198937136523,0.9794332333
15,20,15,1411,0.6584552119791625,0.9856733652728495
18,20,3,131,0.5725057798321377,0.9931444111
20,20,2,97,0.6351493424988486,1.0
25,20,11,1702,0.6064523036021899,0.9878083932592785
30,20,3,158,0.5387325390606952,0.9913729411
