n_topics,coherence_cv,irbo,n_posts
3,0.4554085382123727,0.9293411637476191,6416
4,0.5261953147601846,0.9778417464571428,6416
5,0.4994430617899364,0.9679305581685714,6416
6,0.4666339010766924,0.9616970750678306,6416
7,0.4543798553718351,0.9628530928246409,6416
8,0.5094383311165425,0.9841723148081633,6416
9,0.49153607204000394,0.991680140577381,6416
10,0.5208917168461025,0.9799547861334039,6416
11,0.5347236403420875,0.9909033624410389,6416
12,0.48615031082602106,0.995534678951948,6416
13,0.45696361187511303,0.9902552307053114,6416
14,0.45766307386888405,0.9896327273942264,6416
