n_topics,coherence_cv,irbo,n_posts
3,0.5572425347876805,0.8248350421248678,461
4,0.5186175802753534,0.8135493644671958,461
5,0.47861341225905535,0.8077736339588889,461
6,0.4592043525219185,0.8267282105268783,461
7,0.45110818631186683,0.8592132961110356,461
8,0.4440575924192708,0.8692357901720522,461
9,0.4133011228602234,0.8649883348775573,461
10,0.4120505927459773,0.8807000218963316,461
11,0.40716450393678655,0.8930519422764791,461
12,0.40334838804945655,0.8995176296442521,461
13,0.3903102455017426,0.8994840653543346,461
14,0.3801454546345691,0.8969539681083377,461
