n_topics,coherence_cv,irbo,n_posts
3,0.4318363998471604,0.7964784606333334,2476
4,0.3913387404196148,0.7343547225671958,2476
5,0.38508853432767376,0.740673845693492,2476
6,0.43504341773977484,0.7801947584042328,2476
7,0.41556246362220606,0.829619294811867,2476
8,0.44350075540591427,0.8428475895548186,2476
9,0.4325260789070135,0.8375748883501763,2476
10,0.4238945451507451,0.8455831665629983,2476
11,0.40676975976287455,0.8592239623647908,2476
12,0.40719865046765796,0.873510417881265,2476
13,0.40277253632714294,0.8814804421387261,2476
14,0.4213291944128774,0.893966339441828,2476
