n_topics,coherence_cv,irbo,n_posts
3,0.4046281859932943,0.6412848477153441,3478
4,0.3652781896008711,0.7437915889957672,3478
5,0.36932559935538034,0.7504061140295238,3478
6,0.39276669718590224,0.7529451251473016,3478
7,0.3676228830598885,0.7556073649634922,3478
8,0.3649386290336943,0.7713297830124151,3478
9,0.35835108053345904,0.797196289882672,3478
10,0.34529739490174477,0.8024566232820107,3478
11,0.3489410922701421,0.8155290701300145,3478
12,0.347822900606141,0.8218173391683021,3478
13,0.3546080425781271,0.8298661621400693,3478
14,0.34798655873541096,0.8418362969618176,3478
