group,topic_id,topic_size,llm_model,llm_provider,label,cosine
A,2,42,meta-llama/llama-3.1-8b-instruct,openai-compatible,r package installation issues,0.4696844816207886
A,6,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,loading r data,0.7256841659545898
A,7,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,economic growth policy,0.6787952184677124
A,8,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,audio volume issues,0.697399377822876
A,12,14,meta-llama/llama-3.1-8b-instruct,openai-compatible,technical support issues,0.4458971917629242
A,18,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,article access issues,0.7090857028961182
A,24,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,nba player opportunity,0.6016659736633301
A,25,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,download module issues,0.7242352366447449
A,35,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,binomial approximation methods,0.6890182495117188
A,38,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,autism prevalence changes,0.7827203869819641
A,44,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,slope and intercept,0.8164973258972168
A,51,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,help with homework,0.6252041459083557
A,62,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,alzheimers disease prevention,0.6805993318557739
A,65,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,computer says wrong,0.6148869395256042
A,73,4,meta-llama/llama-3.1-8b-instruct,openai-compatible,principal component analysis,0.5464752912521362
A,85,4,meta-llama/llama-3.1-8b-instruct,openai-compatible,sign confusion issues,0.6128085851669312
A,118,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,slow internet issues,0.2776484191417694
A,131,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,error with singular fits,0.7083398103713989
A,135,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,correct variable thinking,0.6070555448532104
A,154,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,work plan example,0.39540210366249084
A,45,6,meta-llama/llama-3.3-70b-instruct,openai-compatible,reaction time,0.6278027296066284
A,152,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,multiple choice format,0.5892515182495117
A,153,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,linear regression issues,0.4696959853172302
A,160,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,reference value,0.5364773273468018
A,2,42,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,package installation issues,0.499508798122406
A,9,17,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,correlation concepts,0.7499688267707825
A,11,15,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,coffee and tea consumption,0.5658437609672546
A,18,11,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,article access issues,0.7090857028961182
A,26,7,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,tree node analysis,0.7385528087615967
A,27,7,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,browser compatibility issues,0.5435171723365784
A,38,6,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,autism prevalence changes,0.7827203869819641
A,49,6,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,spinal cord injuries,0.7928366661071777
A,57,5,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,frequency data analysis,0.6449055671691895
A,59,5,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,ipad submission issues,0.7423069477081299
A,69,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,unit homework issues,0.5739214420318604
A,70,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,editing exercises,0.6294178366661072
A,72,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,download issues,0.5959888100624084
A,76,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,degrees of freedom,0.6028096079826355
A,78,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,seizure treatment in pediatrics,0.7361963987350464
A,101,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,antiinflammatory drugs and alzheimer's,0.7152451872825623
A,103,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,participation cost effectiveness,0.4117358922958374
A,105,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,speed of response,0.5564625263214111
A,108,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,missing course content,0.5769971609115601
A,122,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,economic model uncertainty,0.3930165767669678
A,125,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,crossvalidation confusion,0.8280701041221619
A,129,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,irreducible error,0.4145568013191223
A,133,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,fick equation confusion,0.6275146007537842
A,135,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,variable error confusion,0.7000768780708313
A,138,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,price elasticity issues,0.4782629609107971
A,139,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,formatting issues,0.39919519424438477
A,140,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,bagging and oob error,0.5000868439674377
A,147,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,logistic regression failure,0.54167240858078
A,149,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,mean squared error,0.7093494534492493
B,1,93,meta-llama/llama-3.1-8b-instruct,openai-compatible,math education challenges,0.6166538596153259
B,6,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,getting course credit,0.6536037921905518
B,9,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,video captions needed,0.6682313084602356
B,18,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,clarify feedback requirements,0.5130486488342285
B,13,4,meta-llama/llama-3.3-70b-instruct,openai-compatible,certificate download,0.7338094711303711
B,16,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,svg image support,0.3328714370727539
