group,topic_id,topic_size,llm_model,llm_provider,label,cosine
A,2,42,meta-llama/llama-3.1-8b-instruct,openai-compatible,r package installation issues,0.4696844816207886
A,6,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,loading r data,0.7256841659545898
A,7,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,economic growth policy,0.6787952184677124
A,8,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,audio volume issues,0.697399377822876
A,12,14,meta-llama/llama-3.1-8b-instruct,openai-compatible,technical support issues,0.4458971917629242
A,18,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,article access issues,0.7090857028961182
A,24,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,nba player opportunity,0.6016659736633301
A,25,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,download module issues,0.7242352366447449
A,35,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,binomial approximation methods,0.6890182495117188
A,38,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,autism prevalence changes,0.7827203869819641
A,44,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,slope and intercept,0.8164973258972168
A,51,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,help with homework,0.6252041459083557
A,62,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,alzheimers disease prevention,0.6805993318557739
A,65,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,computer says wrong,0.6148869395256042
A,73,4,meta-llama/llama-3.1-8b-instruct,openai-compatible,principal component analysis,0.5464752912521362
A,85,4,meta-llama/llama-3.1-8b-instruct,openai-compatible,sign confusion issues,0.6128085851669312
A,118,3,meta-llama/llama-3.1-8b-instruct,openai-compatible,slow internet issues,0.2776484191417694
A,131,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,error with singular fits,0.7083398103713989
A,135,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,correct variable thinking,0.6070555448532104
A,154,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,work plan example,0.39540210366249084
A,45,6,meta-llama/llama-3.3-70b-instruct,openai-compatible,reaction time,0.6278027296066284
A,152,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,multiple choice format,0.5892515182495117
A,153,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,linear regression issues,0.4696959853172302
A,160,2,meta-llama/llama-3.3-70b-instruct,openai-compatible,reference value,0.5364773273468018
A,0,3255,qwen/qwen-2.5-7b-instruct,openai-compatible,course queries,0.45545610785484314
A,3,39,qwen/qwen-2.5-7b-instruct,openai-compatible,bootstrap errors,0.5891206860542297
A,4,22,qwen/qwen-2.5-7b-instruct,openai-compatible,spline regression,0.6715169548988342
A,5,21,qwen/qwen-2.5-7b-instruct,openai-compatible,piazza access issues,0.7274596691131592
A,6,19,qwen/qwen-2.5-7b-instruct,openai-compatible,rdata loading issues,0.5668123960494995
A,7,19,qwen/qwen-2.5-7b-instruct,openai-compatible,economic growth,0.7198463082313538
A,8,17,qwen/qwen-2.5-7b-instruct,openai-compatible,audio volume issues,0.697399377822876
A,9,17,qwen/qwen-2.5-7b-instruct,openai-compatible,correlation analysis,0.7287856936454773
A,10,16,qwen/qwen-2.5-7b-instruct,openai-compatible,session issues,0.550104022026062
A,11,15,qwen/qwen-2.5-7b-instruct,openai-compatible,coffee & tea correlation,0.6207898855209351
A,12,14,qwen/qwen-2.5-7b-instruct,openai-compatible,tech support emails,0.6716828346252441
A,13,13,qwen/qwen-2.5-7b-instruct,openai-compatible,hypercube dimensions,0.6694545745849609
A,14,12,qwen/qwen-2.5-7b-instruct,openai-compatible,problem solving,0.5906240344047546
A,15,12,qwen/qwen-2.5-7b-instruct,openai-compatible,combinations in cards,0.6284018754959106
A,16,11,qwen/qwen-2.5-7b-instruct,openai-compatible,person years follow,0.7458321452140808
A,17,11,qwen/qwen-2.5-7b-instruct,openai-compatible,scpd submission,0.7717933654785156
A,18,11,qwen/qwen-2.5-7b-instruct,openai-compatible,article access,0.8126844167709351
A,19,10,qwen/qwen-2.5-7b-instruct,openai-compatible,p-values and associations,0.39083999395370483
A,20,10,qwen/qwen-2.5-7b-instruct,openai-compatible,data analysis software,0.8044906854629517
A,21,9,qwen/qwen-2.5-7b-instruct,openai-compatible,lottery expected value,0.7494925856590271
A,22,9,qwen/qwen-2.5-7b-instruct,openai-compatible,redundancy in modules,0.6326702237129211
A,23,9,qwen/qwen-2.5-7b-instruct,openai-compatible,rent control debate,0.6524555683135986
A,24,8,qwen/qwen-2.5-7b-instruct,openai-compatible,nba player decision,0.4841573238372803
A,25,8,qwen/qwen-2.5-7b-instruct,openai-compatible,download issues,0.6214497685432434
A,26,7,qwen/qwen-2.5-7b-instruct,openai-compatible,decision trees,0.5538601875305176
A,27,7,qwen/qwen-2.5-7b-instruct,openai-compatible,browser compatibility issues,0.5435171723365784
A,28,7,qwen/qwen-2.5-7b-instruct,openai-compatible,sampling techniques,0.6054571270942688
A,29,7,qwen/qwen-2.5-7b-instruct,openai-compatible,exercises and answers,0.7748069167137146
A,30,7,qwen/qwen-2.5-7b-instruct,openai-compatible,ordinal categorical data,0.7534456253051758
A,31,7,qwen/qwen-2.5-7b-instruct,openai-compatible,covariance matrix,0.760231077671051
A,32,7,qwen/qwen-2.5-7b-instruct,openai-compatible,pain meningitis,0.5630201101303101
A,33,7,qwen/qwen-2.5-7b-instruct,openai-compatible,tea and sugar,0.6036199331283569
A,34,7,qwen/qwen-2.5-7b-instruct,openai-compatible,verb meaning discussion,0.7385969161987305
A,35,7,qwen/qwen-2.5-7b-instruct,openai-compatible,normal approximation,0.6213102340698242
A,36,7,qwen/qwen-2.5-7b-instruct,openai-compatible,oob vs test,0.5103906989097595
A,37,7,qwen/qwen-2.5-7b-instruct,openai-compatible,halt study,0.789029061794281
A,38,6,qwen/qwen-2.5-7b-instruct,openai-compatible,autism recent changes,0.7404354810714722
A,39,6,qwen/qwen-2.5-7b-instruct,openai-compatible,survival probability,0.7025203108787537
A,40,6,qwen/qwen-2.5-7b-instruct,openai-compatible,oil price analysis,0.7291747331619263
